sku_prefix,sku_suffix,lineitem_name
COR-DB,1/4lb,"Corn, 'Dakota Black' - 1/4 lb"
COR-DB,1lb,"Corn, 'Dakota Black' - 1 lb"
COR-TU,pkt,"Corn, 'Tuxana' - Pkt"
COR-TU,1/2lb,"Corn, 'Tuxana' - 1/2 lb"
CUC-LE,pkt,"Cucumber, 'Lemon' - Pkt"
CUC-LE,1/2oz,"Cucumber, 'Lemon' - 1/2 oz"
CUC-LE,1oz,"Cucumber, 'Lemon' - 1 oz"
CUC-SA,pkt,"Cucumber (Mexican Sour Gherkin, Cucamelon), 'Sandita' - Pkt"
CUC-SA,100s,"Cucumber (Mexican Sour Gherkin, Cucamelon), 'Sandita' - 100 seeds"
CUC-SA,500s,"Cucumber (Mexican Sour Gherkin, Cucamelon), 'Sandita' - 500 seeds"
CUC-SA,1Ms,"Cucumber (Mexican Sour Gherkin, Cucamelon), 'Sandita' - 1000 seeds"
CUC-SH,pkt,"Cucumber, 'Shintokiwa' - Pkt"
CUC-SH,1/2oz,"Cucumber, 'Shintokiwa' - 1/2 oz"
CUC-SH,1oz,"Cucumber, 'Shintokiwa' - 1 oz"
CUC-SS,pkt,"Cucumber, 'Silver Slicer' - Pkt"
CUC-SS,1/2oz,"Cucumber, 'Silver Slicer' - 1/2 oz"
CUC-SS,1oz,"Cucumber, 'Silver Slicer' - 1 oz"
CUC-SM,pkt,"Cucumber, 'Sweet Marketmore' - Pkt"
CUC-SM,1/2oz,"Cucumber, 'Sweet Marketmore' - 1/2 oz"
CUC-SM,1oz,"Cucumber, 'Sweet Marketmore' - 1 oz"
CUC-VO,pkt,"Cucumber, 'Vorgebirgstrauben' - Pkt"
CUC-VO,1/2oz,"Cucumber, 'Vorgebirgstrauben' - 1/2 oz"
CUC-VO,1oz,"Cucumber, 'Vorgebirgstrauben' - 1 oz"
CUC-CE,pkt,"Cucumber, 'Çengelköy' - Pkt"
CUC-CE,1/2oz,"Cucumber, 'Çengelköy' - 1/2 oz"
CUC-CE,1oz,"Cucumber, 'Çengelköy' - 1 oz"
EGG-DI,pkt,"Eggplant, 'Diamond' - Pkt"
EGG-DI,100s,"Eggplant, 'Diamond' - 100 seeds"
EGG-DI,250s,"Eggplant, 'Diamond' - 250 seeds"
EGG-DI,1Ms,"Eggplant, 'Diamond' - 1000 seeds"
EGG-VI,pkt,"Eggplant, 'Violetta di Firenze' - Pkt"
EGG-VI,100s,"Eggplant, 'Violetta di Firenze' - 100 seeds"
EGG-VI,250s,"Eggplant, 'Violetta di Firenze' - 250 seeds"
EGG-VI,1Ms,"Eggplant, 'Violetta di Firenze' - 1000 seeds"
CHI-MA,pkt,"Belgian Endive/Witloof, 'Macun' - Pkt"
CHI-MA,500s,"Belgian Endive/Witloof, 'Macun' - 500 seeds"
CHI-MA,1Ms,"Belgian Endive/Witloof, 'Macun' - 1000 seeds"
CHI-MA,5Ms,"Belgian Endive/Witloof, 'Macun' - 5000 seeds"
CHI-MA,25Ms,"Belgian Endive/Witloof, 'Macun' - 25000 seeds"
CHI-BQ,pkt,"Curly Endive, 'Bellesque' - Pkt"
CHI-BQ,500s,"Curly Endive, 'Bellesque' - 500 seeds"
CHI-BQ,1Ms,"Curly Endive, 'Bellesque' - 1000 seeds"
CHI-BQ,5Ms,"Curly Endive, 'Bellesque' - 5000 seeds"
FEN-FI,pkt,"Fennel, 'Finale' - Pkt"
FEN-FI,1/8oz,"Fennel, 'Finale' - 1/8 oz"
FEN-FI,1oz,"Fennel, 'Finale' - 1 oz"
GRE-AS,pkt,"Arugula, 'Astro' - Pkt"
GRE-AS,1oz,"Arugula, 'Astro' - 1 oz"
GRE-AS,1/4lb,"Arugula, 'Astro' - 1/4 lb"
GRE-AS,1lb,"Arugula, 'Astro' - 1 lb"
GRE-AS,2.5lb,
GRE-AS,5lb,"Arugula, 'Astro' - 5 lb"
GRE-RU,pkt,"Arugula, 'Rucola' - Pkt"
GRE-RU,1/4oz,"Arugula, 'Rucola' - 1/4 oz"
GRE-RU,1oz,"Arugula, 'Rucola' - 1 oz"
GRE-RU,1/4lb,"Arugula, 'Rucola' - 1/4 lb"
GRE-RU,1lb,"Arugula, 'Rucola' - 1 lb"
GRE-MZ,pkt,"Asian Greens, 'Early Mizuna' - Pkt"
GRE-MZ,1oz,"Asian Greens, 'Early Mizuna' - 1 oz"
GRE-MZ,1/4lb,"Asian Greens, 'Early Mizuna' - 1/4 lb"
GRE-RS,pkt,"Asian Greens, 'Ruby Streaks' - Pkt"
GRE-RS,1/4oz,"Asian Greens, 'Ruby Streaks' - 1/4 oz"
GRE-RS,1oz,"Asian Greens, 'Ruby Streaks' - 1 oz"
GRE-RS,1/4lb,"Asian Greens, 'Ruby Streaks' - 1/4 lb"
GRE-RS,1lb,"Asian Greens, 'Ruby Streaks' - 1 lb"
GRE-TA,pkt,"Asian Greens, 'Tatsoi' - Pkt"
GRE-TA,1oz,"Asian Greens, 'Tatsoi' - 1 oz"
GRE-TA,1/4lb,"Asian Greens, 'Tatsoi' - 1/4 lb"
