SKU,QTY
BEE-CR-1/4lb,4
gift-cert-150,4
BRO-SM-1/4oz,4
KAL-RR-1oz,4
AMA-LL-1/4oz,4
LET-ER-1oz,4
SCA-FB-250s,4
FEN-FI-1oz,4
FOX-AB-1g,4
CLB-LS-1Ms,4
LET-FT-1oz,4
TOM-GM-250s,4
CUC-LE-1oz,4
SFA-TS-pkts,4
SMA-PA-5Ms,4
CUC-SM-1oz,4
GRE-PC-1oz,4
BEA-FO-1/2lb,4
TOM-VZ-50s,4
SMA-PQ-1Ms,4
ONI-RL-1/2oz,4
ZIN-BE-1Ms,4
COR-PM-1lb,4
HER-TU-1Ms,4
LET-SB-1/4oz,4
SMA-BR-1Ms,4
HER-PJ-1/4lb,4
BEE-CH-1oz,4
LEE-NE-1/2oz,4
SMA-LT-5Ms,3
PEP-SR-250s,3
BEE-BO-1/4lb,3
SMA-LA-10Ms,3
GRE-GF-1/4lb,3
LET-HR-1/4oz,3
SMA-BE-5Ms,3
LET-RG-1oz,3
SMA-MT-5Ms,3
SMA-SG-5Ms,3
LET-WD-1/4oz,3
CHI-BQ-5Ms,3
BEE-LU-1oz,3
LEE-LN-1oz,3
LET-AB-1/4oz,3
TOM-ST-250s,3
LET-IT-1/4oz,3
PUM-WL-1/4lb,3
MEL-ER-1oz,3
LEE-NE-1oz,3
TGC-DM-250s,3
AST-HP-1Ms,3
SPI-BE-1/4lb,3
TOM-GS-250s,3
MEL-GI-1oz,3
CUC-SA-1Ms,3
SMA-VM-5Ms,3
SMA-SH-5Ms,3
LET-AD-1oz,3
BEE-TG-1/4lb,3
PEP-MP-250s,3
CAB-NS-5Ms,3
LET-TB-1/4oz,3
GRE-GF-1oz,3
TOM-GG-100s,3
SMA-DT-5Ms,3
COR-FL-1lb,3
GRE-TA-1/4lb,2
SMA-FC-5Ms,2
BRO-UM-1oz,2
LET-OD-1/4oz,2
BEE-LU-1/4lb,2
TOM-JF-250s,2
SMA-RR-5Ms,2
SPI-WG-1lb,2
ZUC-CR-1/4lb,2
HER-BF-1oz,2
CHI-IS-5Ms,2
TOM-GA-250s,2
TOM-LA-250s,2
SWP-TL-100s,2
PEP-EE-1Ms,2
ZIN-QR-1Ms,2
TOM-MG-250s,2
PEP-YN-1Ms,2
LET-RR-1/4oz,2
TOM-MY-100s,2
SUN-TA-1Ms,2
MEL-PF-1oz,2
GRE-AS-1lb,2
CHA-RA-1/4lb,2
